"coalition","slot","assignment"
"MORENA/PT/PVEM",1,"T4"
"MORENA/PT/PVEM",2,"T2"
"MORENA/PT/PVEM",3,"T1"
"MORENA/PT/PVEM",4,"control"
"MORENA/PT/PVEM",5,"control"
"MORENA/PT/PVEM",6,"T3"
"MORENA/PT/PVEM",7,"T3"
"MORENA/PT/PVEM",8,"control2"
"MORENA/PT/PVEM",9,"T4"
"MORENA/PT/PVEM",10,"T2"
"MORENA/PT/PVEM",11,"T3"
"MORENA/PT/PVEM",12,"T2"
"MORENA/PT/PVEM",13,"T3"
"MORENA/PT/PVEM",14,"control2"
"MORENA/PT/PVEM",15,"T1"
"MORENA/PT/PVEM",16,"T4"
"MORENA/PT/PVEM",17,"control"
"MORENA/PT/PVEM",18,"T2"
"MORENA/PT/PVEM",19,"T4"
"MORENA/PT/PVEM",20,"control"
"MORENA/PT/PVEM",21,"T4"
"MORENA/PT/PVEM",22,"T2"
"MORENA/PT/PVEM",23,"T1"
"MORENA/PT/PVEM",24,"control2"
"MORENA/PT/PVEM",25,"control"
"MORENA/PT/PVEM",26,"T3"
"MORENA/PT/PVEM",27,"T2"
"MORENA/PT/PVEM",28,"T4"
"MORENA/PT/PVEM",29,"control"
"MORENA/PT/PVEM",30,"T3"
"MORENA/PT/PVEM",31,"control"
"MORENA/PT/PVEM",32,"T3"
"MORENA/PT/PVEM",33,"T2"
"MORENA/PT/PVEM",34,"control"
"MORENA/PT/PVEM",35,"T3"
"MORENA/PT/PVEM",36,"T2"
"MORENA/PT/PVEM",37,"control2"
"MORENA/PT/PVEM",38,"T1"
"MORENA/PT/PVEM",39,"T4"
"MORENA/PT/PVEM",40,"T4"
"MORENA/PT/PVEM",41,"control"
"MORENA/PT/PVEM",42,"T1"
"MORENA/PT/PVEM",43,"T2"
"MORENA/PT/PVEM",44,"control2"
"MORENA/PT/PVEM",45,"control"
"MORENA/PT/PVEM",46,"T3"
"MORENA/PT/PVEM",47,"T4"
"MORENA/PT/PVEM",48,"T3"
"MORENA/PT/PVEM",49,"T2"
"MORENA/PT/PVEM",50,"T4"
"MORENA/PT/PVEM",51,"T2"
"MORENA/PT/PVEM",52,"control"
"MORENA/PT/PVEM",53,"T4"
"MORENA/PT/PVEM",54,"control2"
"MORENA/PT/PVEM",55,"T3"
"MORENA/PT/PVEM",56,"control"
"MORENA/PT/PVEM",57,"T3"
"MORENA/PT/PVEM",58,"T1"
"MORENA/PT/PVEM",59,"T4"
"MORENA/PT/PVEM",60,"T2"
"MORENA/PT/PVEM",61,"control"
"MORENA/PT/PVEM",62,"control"
"MORENA/PT/PVEM",63,"T3"
"MORENA/PT/PVEM",64,"control2"
"MORENA/PT/PVEM",65,"T2"
"MORENA/PT/PVEM",66,"T4"
"MORENA/PT/PVEM",67,"T2"
"MORENA/PT/PVEM",68,"T1"
"MORENA/PT/PVEM",69,"T4"
"MORENA/PT/PVEM",70,"T3"
"MORENA/PT/PVEM",71,"T1"
"MORENA/PT/PVEM",72,"T4"
"MORENA/PT/PVEM",73,"T4"
"MORENA/PT/PVEM",74,"T3"
"MORENA/PT/PVEM",75,"T2"
"MORENA/PT/PVEM",76,"T3"
"MORENA/PT/PVEM",77,"T2"
"MORENA/PT/PVEM",78,"control2"
"MORENA/PT/PVEM",79,"control"
"MORENA/PT/PVEM",80,"control"
"MORENA/PT/PVEM",81,"control"
"MORENA/PT/PVEM",82,"control2"
"MORENA/PT/PVEM",83,"T4"
"MORENA/PT/PVEM",84,"T3"
"MORENA/PT/PVEM",85,"T4"
"MORENA/PT/PVEM",86,"T2"
"MORENA/PT/PVEM",87,"T1"
"MORENA/PT/PVEM",88,"T2"
"MORENA/PT/PVEM",89,"T3"
"MORENA/PT/PVEM",90,"control"
"MORENA/PT/PVEM",91,"T4"
"MORENA/PT/PVEM",92,"T1"
"MORENA/PT/PVEM",93,"control"
"MORENA/PT/PVEM",94,"T2"
"MORENA/PT/PVEM",95,"T2"
"MORENA/PT/PVEM",96,"control2"
"MORENA/PT/PVEM",97,"T3"
"MORENA/PT/PVEM",98,"T3"
"MORENA/PT/PVEM",99,"T4"
"MORENA/PT/PVEM",100,"control"
"MORENA/PT/PVEM",101,"T2"
"MORENA/PT/PVEM",102,"T4"
"MORENA/PT/PVEM",103,"control"
"MORENA/PT/PVEM",104,"control2"
"MORENA/PT/PVEM",105,"T1"
"MORENA/PT/PVEM",106,"control"
"MORENA/PT/PVEM",107,"T4"
"MORENA/PT/PVEM",108,"T2"
"MORENA/PT/PVEM",109,"T3"
"MORENA/PT/PVEM",110,"T3"
"MORENA/PT/PVEM",111,"control"
"MORENA/PT/PVEM",112,"T3"
"MORENA/PT/PVEM",113,"T2"
"MORENA/PT/PVEM",114,"control"
"MORENA/PT/PVEM",115,"T4"
"MORENA/PT/PVEM",116,"T2"
"MORENA/PT/PVEM",117,"T3"
"MORENA/PT/PVEM",118,"T4"
"MORENA/PT/PVEM",119,"T1"
"MORENA/PT/PVEM",120,"control2"
"MORENA/PT/PVEM",121,"T2"
"MORENA/PT/PVEM",122,"T2"
"MORENA/PT/PVEM",123,"T3"
"MORENA/PT/PVEM",124,"control"
"MORENA/PT/PVEM",125,"T1"
"MORENA/PT/PVEM",126,"T4"
"MORENA/PT/PVEM",127,"control"
"MORENA/PT/PVEM",128,"T3"
"MORENA/PT/PVEM",129,"control2"
"MORENA/PT/PVEM",130,"T4"
"MORENA/PT/PVEM",131,"T2"
"MORENA/PT/PVEM",132,"control"
"MORENA/PT/PVEM",133,"T3"
"MORENA/PT/PVEM",134,"control"
"MORENA/PT/PVEM",135,"T1"
"MORENA/PT/PVEM",136,"T4"
"MORENA/PT/PVEM",137,"control2"
"MORENA/PT/PVEM",138,"T3"
"MORENA/PT/PVEM",139,"T4"
"MORENA/PT/PVEM",140,"T2"
"MORENA/PT/PVEM",141,"control"
"MORENA/PT/PVEM",142,"T2"
"MORENA/PT/PVEM",143,"T3"
"MORENA/PT/PVEM",144,"T4"
"MORENA/PT/PVEM",145,"T4"
"MORENA/PT/PVEM",146,"T2"
"MORENA/PT/PVEM",147,"T1"
"MORENA/PT/PVEM",148,"T3"
"MORENA/PT/PVEM",149,"control2"
"MORENA/PT/PVEM",150,"control"
"MORENA/PT/PVEM",151,"control"
"MORENA/PT/PVEM",152,"T1"
"MORENA/PT/PVEM",153,"T3"
"MORENA/PT/PVEM",154,"control"
"MORENA/PT/PVEM",155,"T4"
"MORENA/PT/PVEM",156,"control2"
"MORENA/PT/PVEM",157,"T3"
"MORENA/PT/PVEM",158,"T2"
"MORENA/PT/PVEM",159,"T4"
"MORENA/PT/PVEM",160,"T2"
"MORENA/PT/PVEM",161,"T1"
"MORENA/PT/PVEM",162,"T3"
"MORENA/PT/PVEM",163,"T2"
"MORENA/PT/PVEM",164,"T4"
"MORENA/PT/PVEM",165,"T2"
"MORENA/PT/PVEM",166,"T3"
"MORENA/PT/PVEM",167,"control"
"MORENA/PT/PVEM",168,"control"
"MORENA/PT/PVEM",169,"control2"
