"muni_cvegeo","muni_name","muni_state","muni_coalition","muni_pop","muni_area_km2","match_rank","match_cvegeo","match_name","match_state","match_coalition","match_pop","match_area_km2","mahalanobis_dist"
"15001","Acambay de Ruíz Castañeda","México","MORENA/PVEM/PT",67872,471.8,1,"21045","Chalchicomula de Sesma","Puebla","MC",47410,387.65,0.2736
"15001","Acambay de Ruíz Castañeda","México","MORENA/PVEM/PT",67872,471.8,2,"15063","Ocuilan","México","MC",36223,384.27,0.4395
"15001","Acambay de Ruíz Castañeda","México","MORENA/PVEM/PT",67872,471.8,3,"21179","Tlachichuca","Puebla","MC",31639,419.12,0.5313
"15001","Acambay de Ruíz Castañeda","México","MORENA/PVEM/PT",67872,471.8,4,"15052","Malinalco","México","MC",28155,208.83,0.8628
"15001","Acambay de Ruíz Castañeda","México","MORENA/PVEM/PT",67872,471.8,1,"21195","Vicente Guerrero","Puebla","PAN",26559,260.09,0.753
"15001","Acambay de Ruíz Castañeda","México","MORENA/PVEM/PT",67872,471.8,2,"21050","Chichiquila","Puebla","PAN",26928,108.51,1.4037
"15001","Acambay de Ruíz Castañeda","México","MORENA/PVEM/PT",67872,471.8,3,"15037","Huixquilucan","México","PAN",284965,140,1.8188
"15001","Acambay de Ruíz Castañeda","México","MORENA/PVEM/PT",67872,471.8,4,"21134","San Matías Tlalancaleca","Puebla","PAN",20974,50.66,2.1107
"15001","Acambay de Ruíz Castañeda","México","MORENA/PVEM/PT",67872,471.8,1,"21177","Tlacotepec de Benito Juárez","Puebla","PAN/PRI/PRD",54757,395.21,0.1959
"15001","Acambay de Ruíz Castañeda","México","MORENA/PVEM/PT",67872,471.8,2,"15045","Jilotepec","México","PAN/PRI/PRD",87671,563.92,0.2138
"15001","Acambay de Ruíz Castañeda","México","MORENA/PVEM/PT",67872,471.8,3,"15082","Tejupilco","México","PAN/PRI/PRD",79282,665.58,0.3245
"15001","Acambay de Ruíz Castañeda","México","MORENA/PVEM/PT",67872,471.8,4,"21180","Tlahuapan","Puebla","PAN/PRI/PRD",41547,311.73,0.454
"15001","Acambay de Ruíz Castañeda","México","MORENA/PVEM/PT",67872,471.8,1,"15114","Villa Victoria","México","PRI/PRD",108196,421.43,0.3885
"15001","Acambay de Ruíz Castañeda","México","MORENA/PVEM/PT",67872,471.8,2,"21217","Zoquitlán","Puebla","PRI/PRD",20335,268.34,0.8837
"15001","Acambay de Ruíz Castañeda","México","MORENA/PVEM/PT",67872,471.8,3,"21035","Coxcatlán","Puebla","PRI/PRD",20653,248.85,0.9025
"15001","Acambay de Ruíz Castañeda","México","MORENA/PVEM/PT",67872,471.8,4,"15009","Amecameca","México","PRI/PRD",53441,175.47,0.9408
"15002","Acolman","México","MORENA/PVEM/PT",171507,86.68,1,"15115","Xonacatlán","México","MC",54633,53.21,0.8245
"15002","Acolman","México","MORENA/PVEM/PT",171507,86.68,2,"15095","Tepotzotlán","México","MC",103696,205.75,1.0291
"15002","Acolman","México","MORENA/PVEM/PT",171507,86.68,3,"17003","Axochiapan","Morelos","MC",39174,141.15,1.3061
"15002","Acolman","México","MORENA/PVEM/PT",171507,86.68,4,"21013","Altepexi","Puebla","MC",22629,47.09,1.411
"15002","Acolman","México","MORENA/PVEM/PT",171507,86.68,1,"15037","Huixquilucan","México","PAN",284965,140,0.5043
"15002","Acolman","México","MORENA/PVEM/PT",171507,86.68,2,"21050","Chichiquila","Puebla","PAN",26928,108.51,1.4312
"15002","Acolman","México","MORENA/PVEM/PT",171507,86.68,3,"21134","San Matías Tlalancaleca","Puebla","PAN",20974,50.66,1.4568
"15002","Acolman","México","MORENA/PVEM/PT",171507,86.68,4,"21122","San Felipe Teotlalcingo","Puebla","PAN",11063,39.06,1.9067
"15002","Acolman","México","MORENA/PVEM/PT",171507,86.68,1,"21119","San Andrés Cholula","Puebla","PAN/PRI/PRD",154448,62.73,0.3057
"15002","Acolman","México","MORENA/PVEM/PT",171507,86.68,2,"17006","Cuautla","Morelos","PAN/PRI/PRD",187118,121.13,0.3177
"15002","Acolman","México","MORENA/PVEM/PT",171507,86.68,3,"17018","Temixco","Morelos","PAN/PRI/PRD",122263,102.33,0.3354
"15002","Acolman","México","MORENA/PVEM/PT",171507,86.68,4,"15054","Metepec","México","PAN/PRI/PRD",242307,67.09,0.4083
"15002","Acolman","México","MORENA/PVEM/PT",171507,86.68,1,"15067","Otzolotepec","México","PRI/PRD",88783,113.94,0.6184
"15002","Acolman","México","MORENA/PVEM/PT",171507,86.68,2,"15092","Teotihuacán","México","PRI/PRD",58507,82.03,0.7676
"15002","Acolman","México","MORENA/PVEM/PT",171507,86.68,3,"15009","Amecameca","México","PRI/PRD",53441,175.47,1.2534
"15002","Acolman","México","MORENA/PVEM/PT",171507,86.68,4,"15073","San Antonio la Isla","México","PRI/PRD",31962,25.23,1.4394
"15003","Aculco","México","MORENA/PVEM/PT",49266,449.77,1,"21045","Chalchicomula de Sesma","Puebla","MC",47410,387.65,0.1411
"15003","Aculco","México","MORENA/PVEM/PT",49266,449.77,2,"15063","Ocuilan","México","MC",36223,384.27,0.2302
"15003","Aculco","México","MORENA/PVEM/PT",49266,449.77,3,"21179","Tlachichuca","Puebla","MC",31639,419.12,0.3081
"15003","Aculco","México","MORENA/PVEM/PT",49266,449.77,4,"21170","Tepeyahualco","Puebla","MC",19200,448.12,0.6846
"15003","Aculco","México","MORENA/PVEM/PT",49266,449.77,1,"21195","Vicente Guerrero","Puebla","PAN",26559,260.09,0.5889
"15003","Aculco","México","MORENA/PVEM/PT",49266,449.77,2,"21050","Chichiquila","Puebla","PAN",26928,108.51,1.3403
"15003","Aculco","México","MORENA/PVEM/PT",49266,449.77,3,"15037","Huixquilucan","México","PAN",284965,140,1.9678
"15003","Aculco","México","MORENA/PVEM/PT",49266,449.77,4,"21134","San Matías Tlalancaleca","Puebla","PAN",20974,50.66,2.0587
"15003","Aculco","México","MORENA/PVEM/PT",49266,449.77,1,"21177","Tlacotepec de Benito Juárez","Puebla","PAN/PRI/PRD",54757,395.21,0.1684
"15003","Aculco","México","MORENA/PVEM/PT",49266,449.77,2,"21180","Tlahuapan","Puebla","PAN/PRI/PRD",41547,311.73,0.3458
"15003","Aculco","México","MORENA/PVEM/PT",49266,449.77,3,"17025","Tlaquiltenango","Morelos","PAN/PRI/PRD",33789,541.84,0.3746
"15003","Aculco","México","MORENA/PVEM/PT",49266,449.77,4,"15045","Jilotepec","México","PAN/PRI/PRD",87671,563.92,0.4104
"15003","Aculco","México","MORENA/PVEM/PT",49266,449.77,1,"15114","Villa Victoria","México","PRI/PRD",108196,421.43,0.5954
"15003","Aculco","México","MORENA/PVEM/PT",49266,449.77,2,"21217","Zoquitlán","Puebla","PRI/PRD",20335,268.34,0.6886
